date,permno,ticker,ret,market_cap_millions
2022-01-03,14593,AAPL,0.025004,2974939.27178077
2022-01-04,14593,AAPL,-0.012692,2937182.6631
2022-01-05,14593,AAPL,-0.0266,2859053.9311599997
2022-01-06,14593,AAPL,-0.016693,2811326.756
2022-01-07,14593,AAPL,0.000988,2814105.39291
2022-01-10,14593,AAPL,0.000116,2814432.2913699998
2022-01-11,14593,AAPL,0.016784,2861669.11884
2022-01-12,14593,AAPL,0.00257,2869024.33419
2022-01-13,14593,AAPL,-0.019028,2814432.2913699998
2022-01-14,14593,AAPL,0.005111,2824405.8170644096
2022-01-18,14593,AAPL,-0.018894,2771041.0818000003
2022-01-19,14593,AAPL,-0.021025,2712780.6774299997
2022-01-20,14593,AAPL,-0.010347,2684711.07571559
2022-01-21,14593,AAPL,-0.012765,2650440.41281
2022-01-24,14593,AAPL,-0.004864,2637548.05442
2022-01-25,14593,AAPL,-0.011385,2607520.28298
2022-01-26,14593,AAPL,-0.000563,2606051.53329
2022-01-27,14593,AAPL,-0.002943,2598381.39602
2022-01-28,14593,AAPL,0.069778,2779690.38553
2022-01-31,14593,AAPL,0.026126,2852311.89798
2022-02-01,14593,AAPL,-0.000973,2849537.5930100004
2022-02-02,14593,AAPL,0.007044,2869610.50544
2022-02-03,14593,AAPL,-0.01672,2821631.18570559
2022-02-04,14593,AAPL,-0.001677,2813308.43399
2022-02-07,14593,AAPL,-0.004235,2801395.24206
2022-02-08,14593,AAPL,0.018467,2853127.8700300003
2022-02-09,14593,AAPL,0.008294,2876791.05948
2022-02-10,14593,AAPL,-0.023599,2808902.18492
2022-02-11,14593,AAPL,-0.020218,2752110.5302399998
2022-02-14,14593,AAPL,0.001423,2756027.19608
2022-02-15,14593,AAPL,0.023153,2819836.04719559
2022-02-16,14593,AAPL,-0.001389,2815919.54455
2022-02-17,14593,AAPL,-0.021269,2756027.19608
2022-02-18,14593,AAPL,-0.009356,2730242.4793000002
2022-02-22,14593,AAPL,-0.017812,2681610.70831441
2022-02-23,14593,AAPL,-0.025864,2612253.0840644096
2022-02-24,14593,AAPL,0.01668,2655825.99153441
2022-02-25,14593,AAPL,0.012966,2690260.0120444098
2022-02-28,14593,AAPL,0.001638,2694666.09792
2022-03-01,14593,AAPL,-0.011628,2663332.7712
2022-03-02,14593,AAPL,0.020588,2718166.09296
2022-03-03,14593,AAPL,-0.001981,2712780.6774299997
2022-03-04,14593,AAPL,-0.018408,2662843.18797
2022-03-07,14593,AAPL,-0.023718,2599686.9513000003
2022-03-08,14593,AAPL,-0.011676,2569332.79104
2022-03-09,14593,AAPL,0.034997,2659252.91095
2022-03-10,14593,AAPL,-0.027186,2586957.78732
2022-03-11,14593,AAPL,-0.023909,2525107.1059299996
2022-03-14,14593,AAPL,-0.026562,2458034.20342
2022-03-15,14593,AAPL,0.029677,2530982.10469
2022-03-16,14593,AAPL,0.029015,2604419.58919
2022-03-17,14593,AAPL,0.006454,2621228.6134200003
2022-03-18,14593,AAPL,0.020919,2676061.93518
2022-03-21,14593,AAPL,0.008538,2698909.15258
2022-03-22,14593,AAPL,0.020801,2755048.1928144097
2022-03-23,14593,AAPL,0.008234,2777732.21580441
2022-03-24,14593,AAPL,0.022678,2840725.2580644097
2022-03-25,14593,AAPL,0.003734,2831786.28096
2022-03-28,14593,AAPL,0.005037,2846049.10287568
2022-03-29,14593,AAPL,0.019134,2900506.53135568
2022-03-30,14593,AAPL,-0.00665,2881219.3633600003
2022-03-31,14593,AAPL,-0.017776,2830003.44848
2022-04-01,14593,AAPL,-0.001718,2825141.17808
2022-04-04,14593,AAPL,0.023693,2892078.43392
2022-04-05,14593,AAPL,-0.018942,2837296.85408
2022-04-06,14593,AAPL,-0.018451,2784946.40944
2022-04-07,14593,AAPL,0.001804,2789970.75552
2022-04-08,14593,AAPL,-0.011909,2756745.24112
2022-04-11,14593,AAPL,-0.025516,2686404.396
2022-04-12,14593,AAPL,0.011523,2717360.8508800003
2022-04-13,14593,AAPL,0.016343,2761769.42512432
2022-04-14,14593,AAPL,-0.029988,2675248.40563819
2022-04-18,14593,AAPL,-0.001331,2671687.98952181
2022-04-19,14593,AAPL,0.014115,2709399.13754819
2022-04-20,14593,AAPL,-0.001016,2706647.8186299996
2022-04-21,14593,AAPL,-0.004844,2693537.82202
2022-04-22,14593,AAPL,-0.027821,2618600.27213819
2022-04-25,14593,AAPL,0.006737,2636242.2812799998
2022-04-26,14593,AAPL,-0.037328,2537836.3808000004
2022-04-27,14593,AAPL,-0.001467,2534113.95102181
2022-04-28,14593,AAPL,0.045156,2648543.0188399996
2022-04-29,14593,AAPL,-0.036605,2551593.62279819
2022-05-02,14593,AAPL,0.001966,2556611.3526118104
2022-05-03,14593,AAPL,0.009623,2581212.6658799998
2022-05-04,14593,AAPL,0.041008,2687063.7496200004
2022-05-05,14593,AAPL,-0.055716,2537350.82537
2022-05-06,14593,AAPL,0.00472,2545605.26768
2022-05-09,14593,AAPL,-0.033189,2461118.62286
2022-05-10,14593,AAPL,0.016112,2500772.15445819
2022-05-11,14593,AAPL,-0.051841,2371129.0165
2022-05-12,14593,AAPL,-0.026894,2307359.4033600003
2022-05-13,14593,AAPL,0.031916,2381001.97691
2022-05-16,14593,AAPL,-0.010672,2355591.08088819
2022-05-17,14593,AAPL,0.025423,2415476.57429181
2022-05-18,14593,AAPL,-0.056419,2279197.35027181
2022-05-19,14593,AAPL,-0.024641,2223034.77220181
2022-05-20,14593,AAPL,0.001747,2226919.05379
2022-05-23,14593,AAPL,0.040119,2316261.2529100003
2022-05-24,14593,AAPL,-0.019216,2271752.00516
2022-05-25,14593,AAPL,0.00114,2274341.6341200005
2022-05-26,14593,AAPL,0.0232,2327105.32418
2022-05-27,14593,AAPL,0.040757,2421950.4848399996
2022-05-31,14593,AAPL,-0.005346,2409002.34004
2022-06-01,14593,AAPL,-0.000873,2406898.4283618103
2022-06-02,14593,AAPL,0.016811,2447361.3808618104
2022-06-03,14593,AAPL,-0.038556,2353001.61378
2022-06-06,14593,AAPL,0.005228,2365302.3513399996
2022-06-07,14593,AAPL,0.017586,2406898.4283618103
2022-06-08,14593,AAPL,-0.005043,2394759.5426118104
2022-06-09,14593,AAPL,-0.035956,2308654.2178399996
2022-06-10,14593,AAPL,-0.038629,2219473.87053
2022-06-13,14593,AAPL,-0.038285,2134501.67028
2022-06-14,14593,AAPL,0.006673,2148744.46770819
2022-06-15,14593,AAPL,0.020112,2191958.90097819
2022-06-16,14593,AAPL,-0.039651,2105044.64086
2022-06-17,14593,AAPL,0.011533,2129322.41236
2022-06-21,14593,AAPL,0.032761,2199080.54247
2022-06-22,14593,AAPL,-0.003827,2190664.41020181
2022-06-23,14593,AAPL,0.021574,2237924.9768700004
2022-06-24,14593,AAPL,0.024517,2280071.24748
2022-06-27,14593,AAPL,0.0,2280071.24748
2022-06-28,14593,AAPL,-0.02979,2212148.75232
2022-06-29,14593,AAPL,0.013024,2240959.47894
2022-06-30,14593,AAPL,-0.018028,2200560.08016
2022-07-01,14593,AAPL,0.016164,2236130.7045862204
2022-07-05,14593,AAPL,0.01893,2278461.70968
2022-07-06,14593,AAPL,0.009607,2300351.4237599997
2022-07-07,14593,AAPL,0.024,2355558.73125378
2022-07-08,14593,AAPL,0.004715,2366664.22016622
2022-07-11,14593,AAPL,-0.014758,2331737.41086
2022-07-12,14593,AAPL,0.006834,2347671.8350800006
2022-07-13,14593,AAPL,-0.002537,2341716.70617378
2022-07-14,14593,AAPL,0.020483,2389680.7716599996
2022-07-15,14593,AAPL,0.01145,2413344.8278399995
2022-07-18,14593,AAPL,-0.020643,2363525.65734752
2022-07-19,14593,AAPL,0.026722,2426683.552
2022-07-20,14593,AAPL,0.01351,2459467.7253724798
2022-07-21,14593,AAPL,0.015094,2496591.48390752
2022-07-22,14593,AAPL,-0.008111,2476342.17568
2022-07-25,14593,AAPL,-0.007398,2458021.5183999995
2022-07-26,14593,AAPL,-0.008826,2436326.16390752
2022-07-27,14593,AAPL,0.034235,2519733.04537248
2022-07-28,14593,AAPL,0.003572,2528732.98790752
2022-07-29,14593,AAPL,0.032793,2611657.74681248
2022-08-01,14593,AAPL,-0.006153,2595586.99481248
2022-08-02,14593,AAPL,-0.009287,2571480.86681248
2022-08-03,14593,AAPL,0.038248,2669834.02976
2022-08-04,14593,AAPL,-0.001926,2664691.38912
2022-08-05,14593,AAPL,-0.001387,2657299.00390752
2022-08-08,14593,AAPL,-0.002903,2649584.88224
2022-08-09,14593,AAPL,0.000303,2650388.4198399996
2022-08-10,14593,AAPL,0.026195,2719814.22918752
2022-08-11,14593,AAPL,-0.004432,2707761.16518752
2022-08-12,14593,AAPL,0.021426,2765776.5799075197
2022-08-15,14593,AAPL,0.006334,2783293.53888
2022-08-16,14593,AAPL,-0.000924,2780722.21856
2022-08-17,14593,AAPL,0.008785,2805149.7616000003
2022-08-18,14593,AAPL,-0.002292,2798721.30009248
2022-08-19,14593,AAPL,-0.015102,2756455.3830399998
2022-08-22,14593,AAPL,-0.023029,2692976.07334752
2022-08-23,14593,AAPL,-0.002029,2687511.85696
2022-08-24,14593,AAPL,0.001794,2692333.08256
