date,ret,market_cap_millions
2022-01-03,0.006374,49392946.61775323
2022-01-04,-0.00063,49244255.42098179
2022-01-05,-0.019393,48118934.3988989
2022-01-06,-0.000964,48118511.63365996
2022-01-07,-0.00405,47883014.44617894
2022-01-10,-0.001441,47812799.96981735
2022-01-11,0.00916,48339848.51293796
2022-01-12,0.002818,48397855.00975281
2022-01-13,-0.014244,47638015.12770677
2022-01-14,0.00082,47670482.23232418
2022-01-18,-0.018388,46683122.5060226
2022-01-19,-0.00969,46209535.39179006
2022-01-20,-0.011037,45677368.53401989
2022-01-21,-0.018915,44719669.05265654
2022-01-24,0.002772,44955416.592219666
2022-01-25,-0.012172,44310010.37210189
2022-01-26,-0.001497,44173952.16095297
2022-01-27,-0.005384,43823291.906676844
2022-01-28,0.024348,44878194.7088339
2022-01-31,0.018886,45928537.27894168
2022-02-01,0.006863,46323630.91794884
2022-02-02,0.009423,46547856.81666754
2022-02-03,-0.024391,45387288.66037411
2022-02-04,0.005157,45784697.508077875
2022-02-07,-0.003702,45672219.2747479
2022-02-08,0.008401,46137024.146528676
2022-02-09,0.014517,46874938.69593413
2022-02-10,-0.018116,46079646.53504223
2022-02-11,-0.01897,45192535.09703329
2022-02-14,-0.003841,45031168.578532204
2022-02-15,0.015767,45869648.5203311
2022-02-16,0.000881,45851935.60730143
2022-02-17,-0.021173,44801093.12621072
2022-02-18,-0.007166,44405289.18670901
2022-02-22,-0.010143,43882852.92044461
2022-02-23,-0.018412,43018522.73532955
2022-02-24,0.014957,43827845.2507295
2022-02-25,0.022373,44811553.93463628
2022-02-28,-0.002443,44851726.18400482
2022-03-01,-0.015474,44142550.73950355
2022-03-02,0.018643,44942316.46690583
2022-03-03,-0.005255,44542222.76566462
2022-03-04,-0.007934,44034147.05623774
2022-03-07,-0.029518,42657877.03291345
2022-03-08,-0.007234,42437827.09460214
2022-03-09,0.025698,43619390.434179775
2022-03-10,-0.004292,43409527.455934644
2022-03-11,-0.012962,42755851.136795744
2022-03-14,-0.007421,42296211.830404826
2022-03-15,0.021409,43203856.71776532
2022-03-16,0.022384,44330865.507724315
2022-03-17,0.012348,44963951.67083072
2022-03-18,0.011662,45554490.1352014
2022-03-21,-0.000435,45471921.25912614
2022-03-22,0.011304,46065047.468237236
2022-03-23,-0.012273,45484339.23137428
2022-03-24,0.014344,46128630.97941154
2022-03-25,0.005066,46232293.400966585
2022-03-28,0.007145,46570024.36736544
2022-03-29,0.012257,47241755.76738815
2022-03-30,-0.006294,46848487.17500182
2022-03-31,-0.015653,46069148.8951114
2022-04-01,0.00341,46244053.18950578
2022-04-04,0.008091,46671577.23600617
2022-04-05,-0.012552,45941508.48687844
2022-04-06,-0.009717,45370567.788509265
2022-04-07,0.004253,45507272.50181252
2022-04-08,-0.002651,45330368.418821454
2022-04-11,-0.016877,44640036.23009414
