Category,Constraint,Courses
Analytics,1 +,"4523 (waiver), 4650"
,9 credits,"4523, 4650, 4108, 4418, 4526, 4540, 4532 (1.5), 4533 (1.5), 4530, 4545"
Entrepreneurship,1 +,"4200, 4550, 4570, 4998"
FE&M,Required,"4700, 4403"
,1 +,"4602, 4620, 4630, 4731, 4732, B8112, 4711, 4734 (1.5), 4735, B8307 "
HM,Required,4507
L&SCM,2 +,"4108, 4405, 4418, 4507, 4601"
,1 at most...,"4412, 4510, 4520, 4521, B8107, B8109, B8123"
ML&AI,1 +,"4525, 4742, 4540, 4575"
,9 credits,"4742, 4575, 4545, 4530, 4579 (1.5), 4721 "
,1 at most...,"4525, 4540, 4650"
,1 at most...,"4523, 4212, 4536"
Optim,1 +,"6613, 6614, 6616"
,9 credits,"4008, 4108, 4405, 4418, 4505, 4507, 4630, CSOR 4231, 4601, 6613, 6614, EEOR 6616, EEAE 4220, ECE 4650"
SM,1 + ,"6711, 6712, 8100"
,1 +,"4601, 4602, 4700, 4745 "
,1 +,"4525, 4742, 6617, ORCS 4529"
